X1836,1094740,1103044,1094820,506003,1074757,1103017,1101085,1094772,1095460,862846,1056062,648132
УСЦ00001632,504584,1094740,387773,613022,695920,167748,504565,387772,1101731,696079,505429,568099
Х153710865,639480,1076647,387785,1094732,500321,696446,639479,523502,387786,1103027,589936,696366
X3031116,505367,1074758,1094740,529866,616544,567717,577836,669494,587285,647238,577869,731204
X40013275,721384,167906,695659,696384,721395,696757,696748,721385,167904,695807,696288,429152
Ю00000320236,387900,388029,1094740,1091164,1099626,1000600,387901,633109,1094768,167108,991498,695997
Х1316122,504584,647531,696396,1078721,1094774,1084130,504600,647538,1032003,1073327,696640,996952
О00000017811,1090803,429146,696757,695999,696323,696739,1099468,1090809,721386,696366,695897,696572
О00000025378,1094740,1103075,1094721,522328,469563,1079324,1101085,1103017,522329,469564,1079313,1094965
Х13025275,1100698,522369,497901,1106906,469563,455860,1104126,1100701,522370,1027059,1106909,1092831
О00000015091,1096222,1094661,1094745,1101579,433344,1000558,1096654
О00000001111,530513,1094740,1094721,502567,461124,696397,521213,1094752,1027042,1095944,696423,521214
О00000012508,389396,1094740,1101999,1101832,505376,1095460,389395,1101085,1101998,1101830,577836,1109750
X16920694,1097336,695357,696361,696137,696428,1094740,696408,695532,696146,696222,696362,696502
X10192195,885918,504565,589916,1094820,1094740,468461,1114698,996951,594385,1094744,1103029,468302
Х130883,433344,1094772,505366,1027054,991473,1104358,638780,1103019,1073333,1079559,1099626,1104380
О00000007180,1061263,1100693,504600,1091430,692255,1103011,1088831,1061267,1100692,387900,601847,993301
X1099020516,1090784,1094820,1103032,695920,1083138,647042,467034,1094661,1103018,695917,647047,991488
О00000014786,577054,1097317,637986,521327,433482,1094721,591926,1118530,502565,1027045,1100608,1094745
Х153710476,500321,1096650,638780,504600,653696,695920,167748,500343,604485,491470,1079391,1073487
О00000015127,1103010,1096222,1094740,166514,1017422,1109695,1094661,1094772,536025,1094752,676496,1109668
X40013286,721387,167901,696757,695807,696384,696752,1088217,721385,721392,696017,695897,696557
О00000016629,696544,648076,520673,696672,696766,1083138,696383,695971,520710,696671,696757,696602
Х131151,458527,802497,1094740,504584,991482,505377,1114752,458525,802495,1103079,504565,721459
О00000013710,504584,1094740,387774,676528,522307,173067,505429,1101085,387775,613022,1078056,504565
О00000001775,577054,1094772,1094768,1120565,521346,1095974,1092099,1094765,1118662,502560,1112119,648133
О00000016618,520656,696366,505870,696761,647045,696557,504386,696351,1075277,696411,647052,696288
О00000013760,461126,530510,473432,1034461,1094661,1094772,1094740,577797,521214,648787,1032990,1077973
X1691976,696408,1114672,521823,695357,695539,696138,696181,1103052,1114752,505870,695532,695740
X16910915510,648089,504386,1085254,1080602,648182,696446,648082,520661,647042,1072337,676931,696366
Ю00000020369,1094751,1096222,1101579,1094740,655192,862925,1094747,1094772,996014,1094661,1094745
Х1316123,505386,589573,638780,1094740,443212,387891,1078721,1122421,1103029,443207,1109718,577870
О00000001777,1094740,1094734,676566,1079298,167778,500012,1103029,1103084,1100693,1079304,471508,1092838
О00000014659,1080997,474778,1094740,469570,1101646,1094772,1080988,474781,1094742,500012,506752,1103032
Х1302936,468543,497901,1094740,499961,1114672,638116,468448,167763,1101723,499960,1118533,726487
X183969,1094740,1094772,504584,638780,505779,1099626,1101723,1094774,505429,1017470,1025091,1111523
X13501109,1103063,1094740,1094661,1101695,433344,638110,1084130,1096222,1097031,1109697,1101715,638780
О00000033204,1094740,536315,1094772,647045,1103078,862837,1103079,565186,1096222,647043,721412,1101085
X16910801231,647043,1094740,491470,521345,389349,504262,591926,1080342,433344,1017442,1112117,1098215
71263,638500,1094740,1114700,166523,648434,504565,1109600,1101085,696698,1019856,504600,638501
Х13021305,468460,1094740,474788,504584,696731,499961,522351,468458,474783,504565,696660,499968
X169751927,1094740,505782,1094738,1080646,1094772,648814,1101085,696451,1103076,1080649,1096222,1101723
