Внешний код,Название,ID,Основной раздел,Источник данных
X69914550431,Хомут SHUFT FCC 315,695600,Хомуты,Импорт 1С
X6991453047820,"Гофрированный воздуховод ЭРА 16ВА, 160 мм",695602,Гофрированные (гибкие) воздуховоды,Импорт 1С
X699145321,"Переход оцинкованный вентиляционный Лиссант 1081318090, 315/160 мм",695603,Переходы оцинкованные вентиляционные,Импорт 1С
X27903135,Вилка  каб. 32А 3Р+Е+N 380В 025,695604,Розетки,Импорт 1С
X1699877,"Кран шаровой ITAP п/пр Н-В 1/2""(бабочка) уп12 093",695605,Арматура запорная и регулирующая,Импорт 1С
X699145430944,"Решетка вентиляционная Vents ABC 2030РРП, 300x200 мм",695606,Решетки вентиляционные,Импорт 1С
X1861250635,Лямка к кусторезу STIHL Fs-38 41307109000,695607,Ремни для триммеров,Импорт 1С
Х12403529,Шлиф круг Jet 300мм 150G д/JSD-12 31A,695608,Шлифовальные круги и диски для станков,Импорт 1С
Х12403664,"Шлифовальный круг для Jet JSD-12 31A, 300 мм, 80G",695609,Шлифовальные круги и диски для станков,Импорт 1С
X1699880,"Кран шаровой ITAP п/пр Н-Н 1/2""(рычаг) 099",695610,Арматура запорная и регулирующая,Импорт 1С
X169254628852,Муфта резьбовая ALTSTREAM переходная 1.1/2*1.1/4 003020208,695611,Муфты и переходники,Импорт 1С
X1691310342,Угольник обжимной ALTSTREAM 20*20 м/п 002030102,695612,Уголки винтовые,Импорт 1С
X1698203114,Душевая лейка хром. FRAP F23,695613,Для душевых кабин,Импорт 1С
720668,Вольфрамовый электрод  WC-20 3.2/175,695615,Электроды,Импорт 1С
72085961,Вольфрамовый электрод  WI-20 3.2мм,695616,Электроды,Импорт 1С
X27903128,Розетка кабельная  32А 2P+E 220В 223,695617,Розетки,Импорт 1С
X16913202155,Муфта VALFEX переходная ВР 40*1 1/4 под ключ,695618,Полипропиленовые муфты и переходники,Импорт 1С
X699145474,"Переход оцинкованный вентиляционный Лиссант 1081317820, 250/100 мм",695619,Переходы оцинкованные вентиляционные,Импорт 1С
Х12403248,Шлифовальная втулка Jet 38х140 80G,695621,Шлифовальные втулки для станков,Импорт 1С
X27903142,Розетка кабельная IEK 16А 3P+E+N 380В 215,695622,Розетки,Импорт 1С
720330169,Электроды ESAB ОК 46.00 2.0мм,695623,Электроды,Импорт 1С
X16914817,Кран ДЖИЛЕКС шаровой 32*32 (9362),695624,Арматура запорная и регулирующая,Импорт 1С
X1699889,"Кран водоразборный ITAP 1/2"" со штуцером 166",695626,Арматура запорная и регулирующая,Импорт 1С
X16998112,Кран шаровой ITAP угловой 1/2х3/4 для стир. машин 392,695627,Арматура запорная и регулирующая,Импорт 1С
X1691386043,"Угольник ALTSTREAM 1"" в.р.003030103",695628,Латунные фитинги,Импорт 1С
X1691310246,Тройник обжимной ALTSTREAM 20*1/2М*20 НР м/п(уп.16 шт) 002040503,695629,Тройники обжимные для трубопроводов,Импорт 1С
X4289130,Тройник полипропиленовый FUSITEK переходной 90*40*90 (FT01222),695630,Полипропиленовые тройники,Импорт 1С
X4289108,Угол полипропиленовый FUSITEK 90' 90 (FT01708),695631,Полипропиленовые уголки для труб,Импорт 1С
X1691450224,Держатель стакана FRAP F1606,695632,Для мебели и ванных комнат,Импорт 1С
X131506165,Полироль-очиститель GRASS пластика Dashboard Cleaner 750мл Ваниль,695633,Чистящая химия,Импорт 1С
X1319190613,"Стусло пластмассовое с пилой SPARTA 300х65мм, 300мм для ручного распила под углом",695634,Стусла,Импорт 1С
X4330262,Кабельная вилка  ТSВ-35-50 711Р001105,695636,Розетки,Импорт 1С
720702,Сварочная проволока омедненная на катушке ESAB 0.8мм,695637,Сварочная проволока,Импорт 1С
X1691310183,"Муфта ALTSTREAM 26*1"" ВР м/п(уп.25 шт)",695638,Муфты обжимные для труб,Импорт 1С
X1691310350,"Угольник ALTSTREAM с креплением 16*3/4""F ВР м/п",695639,Уголки винтовые,Импорт 1С
X16912998,Труба FUSITEK Faser Стекловолокно ПН20 50мм (FT00405),695640,Полипропиленовые трубы,Импорт 1С
X699145407896,Виброизолятор  ДО-38 (MNDDZb2),695641,Для прочей техники,Импорт 1С
X69914550430,Хомут SHUFT FCC 250,695642,Хомуты,Импорт 1С
X699145473,"Переход оцинкованный вентиляционный Лиссант 1081317830, 250/125 мм",695643,Переходы оцинкованные вентиляционные,Импорт 1С
X699145352,"Переход оцинкованный вентиляционный Лиссант 1081318110, 315/200 мм",695644,Переходы оцинкованные вентиляционные,Импорт 1С
X6991454223,"Диффузор вентиляционный Shuft DVK 200 НС-0007533, 200 мм",695645,Диффузоры вентиляционные,Импорт 1С
X69914528,"Решетка вентиляционная ДВ, 300x300 мм",695646,Решетки вентиляционные,Импорт 1С
X699145430927,"Решетка вентиляционная Эра 10РКМ, 100 мм",695647,Решетки вентиляционные,Импорт 1С
X699145430941,"Решетка вентиляционная Vents ABC 2525РРП, 250x250 мм",695648,Решетки вентиляционные,Импорт 1С
X699145441935812,"Соединитель пластиковых воздуховодов Эра 620ТФ12,5П, 60x204/125 мм",695649,Соединители пластиковых воздуховодов,Импорт 1С
